item,expectation,n_filings,horizon_days,ic_excess_pooled,t_pooled,ic_excess_bydate,t_bydate,n_dates,bonferroni_t,verdict
2.02,signal expected (results of operations),1088,1,-0.022833,-0.753,0.001737,0.042,45,2.991,noise
2.02,signal expected (results of operations),1088,3,0.019305,0.635,-0.03275,-0.783,44,2.991,noise
2.02,signal expected (results of operations),1088,5,0.023042,0.756,-0.028546,-0.701,44,2.991,noise
7.01,null expected (Reg FD disclosure),331,1,0.017773,0.323,-0.086859,-0.731,14,2.991,noise
7.01,null expected (Reg FD disclosure),331,3,0.034755,0.627,0.083311,0.699,14,2.991,noise
7.01,null expected (Reg FD disclosure),331,5,0.007694,0.138,0.126227,1.109,13,2.991,noise
8.01,null expected (other events),706,1,-0.002618,-0.07,-0.038634,-0.764,82,2.991,noise
8.01,null expected (other events),706,3,0.012508,0.328,0.001997,0.036,80,2.991,noise
8.01,null expected (other events),706,5,0.049844,1.296,0.013392,0.231,78,2.991,noise
5.02,exploratory (officer/director change),556,1,0.063873,1.505,0.055373,0.93,56,2.991,noise
5.02,exploratory (officer/director change),556,3,0.08147,1.904,0.018742,0.314,55,2.991,noise
5.02,exploratory (officer/director change),556,5,0.13612,3.157,0.040787,0.632,54,2.991,noise
1.01,exploratory (material agreement),343,1,0.084019,1.554,0.058134,0.548,22,2.991,noise
1.01,exploratory (material agreement),343,3,0.005828,0.106,-0.01142,-0.096,21,2.991,noise
1.01,exploratory (material agreement),343,5,0.000497,0.009,-0.147887,-1.373,20,2.991,noise
5.07,PLACEBO (shareholder vote tally),316,1,-0.057704,-1.024,0.029182,0.412,25,2.991,noise
5.07,PLACEBO (shareholder vote tally),316,3,0.015212,0.27,0.086471,1.106,25,2.991,noise
5.07,PLACEBO (shareholder vote tally),316,5,-0.034662,-0.614,0.055741,0.697,25,2.991,noise
