run_time,signal,horizon_days,ic_spearman,n_obs,flag,ic_se,ic_tstat,ic_ci_lo,ic_ci_hi,ic_excess,ic_excess_n,ic_excess_se,ic_excess_tstat,ic_bydate,ic_bydate_se,ic_bydate_tstat,n_dates
2026-07-06T07:52:07Z,8k_sentiment,1,-0.001847,1994,NOISE,0.0224,-0.082,-0.045751,0.042057,,,,,,,,
2026-07-06T07:52:07Z,8k_sentiment,3,0.020569,1972,NOISE,0.022525,0.913,-0.023579,0.064717,,,,,,,,
2026-07-06T07:52:07Z,8k_sentiment,5,0.009149,1945,NOISE,0.02268,0.403,-0.035305,0.053603,,,,,,,,
2026-08-17T02:24:41Z,8k_sentiment,1,-0.017049,3531,NOISE,0.016831,-1.013,-0.050038,0.01594,,,,,,,,
2026-08-17T02:24:41Z,8k_sentiment,3,-0.00302,3479,NOISE,0.016956,-0.178,-0.036255,0.030215,,,,,,,,
2026-08-17T02:24:41Z,8k_sentiment,5,-0.003715,3434,NOISE,0.017067,-0.218,-0.037167,0.029737,,,,,,,,
2026-08-17T13:09:35Z,8k_sentiment,1,-0.017049,3531,NOISE,0.016831,-1.013,-0.050038,0.01594,,,,,,,,
2026-08-17T13:09:35Z,8k_sentiment,3,-0.00302,3479,NOISE,0.016956,-0.178,-0.036255,0.030215,,,,,,,,
2026-08-17T13:09:35Z,8k_sentiment,5,-0.003715,3434,NOISE,0.017067,-0.218,-0.037167,0.029737,,,,,,,,
2026-08-18T10:12:31Z,8k_sentiment,1,-0.017748,3531,NOISE,0.016831,-1.054,-0.050737,0.015241,,,,,,,,
2026-08-18T10:12:31Z,8k_sentiment,3,-0.001251,3475,NOISE,0.016966,-0.074,-0.034505,0.032003,,,,,,,,
2026-08-18T10:12:31Z,8k_sentiment,5,-0.004832,3429,NOISE,0.01708,-0.283,-0.038308,0.028644,,,,,,,,
2026-08-20T00:18:37Z,8k_sentiment,1,-0.017543,3559,NOISE,0.016765,-1.046,-0.050402,0.015316,,,,,,,,
2026-08-20T00:18:37Z,8k_sentiment,3,-0.003765,3519,NOISE,0.01686,-0.223,-0.03681,0.02928,,,,,,,,
2026-08-20T00:18:37Z,8k_sentiment,5,-0.006412,3468,NOISE,0.016983,-0.378,-0.039699,0.026875,,,,,,,,
2026-08-20T11:23:53Z,8k_sentiment,1,-0.013471,3544,NOISE,0.0168,-0.802,-0.046399,0.019457,,,,,,,,
2026-08-20T11:23:53Z,8k_sentiment,3,-0.003172,3494,NOISE,0.01692,-0.187,-0.036335,0.029991,,,,,,,,
2026-08-20T11:23:53Z,8k_sentiment,5,-0.005539,3451,NOISE,0.017025,-0.325,-0.038908,0.02783,,,,,,,,
2026-08-21T07:38:47Z,8k_sentiment,1,-0.013471,3544,NOISE,0.0168,-0.802,-0.046399,0.019458,-0.024686,3544,0.0168,-1.469,0.021528,0.020672,1.041,125
2026-08-21T07:38:47Z,8k_sentiment,3,-0.003172,3494,NOISE,0.01692,-0.187,-0.036335,0.029992,-0.014427,3494,0.01692,-0.853,0.020696,0.021246,0.974,123
2026-08-21T07:38:47Z,8k_sentiment,5,-0.005539,3451,NOISE,0.017025,-0.325,-0.038908,0.02783,-0.010573,3451,0.017025,-0.621,0.013463,0.020725,0.65,121
2026-08-21T07:43:05Z,8k_sentiment,1,-0.013471,3544,NOISE,0.0168,-0.802,-0.046399,0.019458,-0.024686,3544,0.0168,-1.469,0.021528,0.020672,1.041,125
2026-08-21T07:43:05Z,8k_sentiment,3,-0.003172,3494,NOISE,0.01692,-0.187,-0.036335,0.029992,-0.014427,3494,0.01692,-0.853,0.020696,0.021246,0.974,123
2026-08-21T07:43:05Z,8k_sentiment,5,-0.005539,3451,NOISE,0.017025,-0.325,-0.038908,0.02783,-0.010573,3451,0.017025,-0.621,0.013463,0.020725,0.65,121
2026-08-21T07:45:07Z,8k_sentiment,1,-0.013471,3544,NOISE,0.0168,-0.802,-0.046399,0.019458,-0.024686,3544,0.0168,-1.469,0.021528,0.020672,1.041,125
2026-08-21T07:45:07Z,8k_sentiment,3,-0.003172,3494,NOISE,0.01692,-0.187,-0.036335,0.029992,-0.014427,3494,0.01692,-0.853,0.020696,0.021246,0.974,123
2026-08-21T07:45:07Z,8k_sentiment,5,-0.005539,3451,NOISE,0.017025,-0.325,-0.038908,0.02783,-0.010573,3451,0.017025,-0.621,0.013463,0.020725,0.65,121
2026-08-21T07:51:59Z,8k_sentiment,1,-0.001641,3544,NOISE,0.0168,-0.098,-0.03457,0.031287,-0.004765,3544,0.0168,-0.284,0.01479,0.018246,0.811,125
2026-08-21T07:51:59Z,8k_sentiment,3,0.020949,3494,NOISE,0.01692,1.238,-0.012214,0.054112,0.022054,3494,0.01692,1.303,0.023053,0.019001,1.213,123
2026-08-21T07:51:59Z,8k_sentiment,5,0.03224,3451,NOISE,0.017025,1.894,-0.001129,0.065609,0.037273,3451,0.017025,2.189,0.009745,0.019468,0.501,121
2026-08-21T09:01:35Z,8k_sentiment,1,0.010035,3493,NOISE,0.016922,0.593,-0.023133,0.043203,0.006843,3493,0.016922,0.404,0.013846,0.021614,0.641,124
2026-08-21T09:01:35Z,8k_sentiment,3,0.013343,3443,NOISE,0.017045,0.783,-0.020065,0.046751,0.016334,3443,0.017045,0.958,0.016691,0.022869,0.73,122
2026-08-21T09:01:35Z,8k_sentiment,5,0.006315,3402,NOISE,0.017147,0.368,-0.027294,0.039924,0.015781,3402,0.017147,0.92,0.001851,0.022551,0.082,120
